get-a-job-2016,37%(M) -- 33%(I)
keanu,45%(M) -- 56%(I)
the-childhood-of-a-leader,62%(M) -- 58%(I)
evolution-2015,54%(M) -- 46%(I)
high-rise-2015,46%(M) -- 55%(I)
mr-right-2015-1,29%(M) -- 31%(I)
hitchcock-truffaut,63%(M) -- 53%(I)
true-story,40%(M) -- 44%(I)
popstar-never-stop-never-stopping,41%(M) -- 55%(I)
lo-and-behold-reveries-of-the-connected-world,49%(M) -- 60%(I)
heart-of-a-dog-2015,66%(M) -- 61%(I)
aquarius,60%(M) -- 60%(I)
elle,66%(M) -- 80%(I)
things-to-come-2016,66%(M) -- 78%(I)
dog-eat-dog-2016,38%(M) -- 36%(I)
yellow-earth,52%(M) -- 45%(I)
bessie,53%(M) -- 41%(I)
pasolini,46%(M) -- 40%(I)
confessions,57%(M) -- 58%(I)
hail-caesar-2016,53%(M) -- 62%(I)
sunset-song,61%(M) -- 56%(I)
99-homes,36%(M) -- 47%(I)
truth-2015,54%(M) -- 46%(I)
eden-2014-1,64%(M) -- 62%(I)
love-2015,36%(M) -- 34%(I)
i-saw-the-light,37%(M) -- 36%(I)
where-to-invade-next,56%(M) -- 57%(I)
suicide-squad-2016,18%(M) -- 19%(I)
mr-holmes,47%(M) -- 43%(I)
golden-door,42%(M) -- 46%(I)
hardcore-henry,40%(M) -- 36%(I)
tallulah,47%(M) -- 41%(I)
cosmos-2015,57%(M) -- 48%(I)
whats-opera-doc,64%(M) -- 65%(I)
demolition,48%(M) -- 45%(I)
batman-the-killing-joke-2016,33%(M) -- 35%(I)
equals,47%(M) -- 27%(I)
the-adderall-diaries,30%(M) -- 35%(I)
louder-than-bombs,60%(M) -- 69%(I)
lupin-the-third-the-castle-of-cagliostro,53%(M) -- 60%(I)
holidays-2016,29%(M) -- 35%(I)
cop-car,54%(M) -- 54%(I)
the-invitation-2015,31%(M) -- 55%(I)
tale-of-tales-2015,47%(M) -- 41%(I)
love-mercy,65%(M) -- 63%(I)
knight-of-cups,67%(M) -- 74%(I)
by-the-sea-2015,36%(M) -- 32%(I)
victoria-2015,82%(M) -- 88%(I)
ashes-and-diamonds,66%(M) -- 64%(I)
pawn-sacrifice,44%(M) -- 38%(I)
entertainment,50%(M) -- 59%(I)
the-fundamentals-of-caring,40%(M) -- 36%(I)
black-mass-2015,31%(M) -- 53%(I)
right-now-wrong-then,61%(M) -- 73%(I)
jane-got-a-gun,30%(M) -- 25%(I)
queen-of-the-desert,38%(M) -- 29%(I)
lessons-of-darkness,60%(M) -- 72%(I)
the-fencer,34%(M) -- 27%(I)
red-state,57%(M) -- 60%(I)
i-smile-back,42%(M) -- 38%(I)
tess,68%(M) -- 56%(I)
victor-frankenstein,25%(M) -- 34%(I)
z-for-zachariah-2015,33%(M) -- 46%(I)
gods-of-egypt,21%(M) -- 21%(I)
friday-the-13th-part-viii-jason-takes-manhattan,37%(M) -- 34%(I)
10000-saints,37%(M) -- 37%(I)
the-do-over,37%(M) -- 36%(I)
the-stanford-prison-experiment,40%(M) -- 60%(I)
bone-tomahawk,65%(M) -- 55%(I)
grandma-2015,49%(M) -- 54%(I)
the-overnight,35%(M) -- 42%(I)
x-men-apocalypse,33%(M) -- 25%(I)
the-act-of-killing,62%(M) -- 73%(I)
fiddler-on-the-roof,56%(M) -- 52%(I)
once-upon-a-time-in-america,68%(M) -- 75%(I)
the-miracle-worker,54%(M) -- 48%(I)
into-the-wild,62%(M) -- 53%(I)
the-blue-room-2014,40%(M) -- 47%(I)
diary-of-a-chambermaid-2015,52%(M) -- 43%(I)
the-bear,61%(M) -- 59%(I)
like-water-for-chocolate,37%(M) -- 27%(I)
sophies-choice,64%(M) -- 50%(I)
revolutionary-road,45%(M) -- 49%(I)
lawless,34%(M) -- 29%(I)
serpico,69%(M) -- 70%(I)
memoirs-of-an-invisible-man,39%(M) -- 47%(I)
special-correspondents,38%(M) -- 34%(I)
this-boys-life,58%(M) -- 49%(I)
bullets-over-broadway,65%(M) -- 63%(I)
starred-up,60%(M) -- 59%(I)
damage,43%(M) -- 41%(I)
smashed,55%(M) -- 49%(I)
some-like-it-hot,91%(M) -- 76%(I)
10-cloverfield-lane,57%(M) -- 50%(I)
drunken-angel,58%(M) -- 63%(I)
middle-of-nowhere-2012,58%(M) -- 52%(I)
advantageous,56%(M) -- 53%(I)
macbeth-2015,62%(M) -- 71%(I)
secret-in-their-eyes,24%(M) -- 25%(I)
hush-2016,41%(M) -- 40%(I)
look-whos-back-2015,40%(M) -- 34%(I)
duck-you-sucker,64%(M) -- 61%(I)
an-education,42%(M) -- 39%(I)
fantastic-four,37%(M) -- 30%(I)
the-program-2015,35%(M) -- 27%(I)
burnt,36%(M) -- 36%(I)
ted-2,30%(M) -- 32%(I)
irrational-man,44%(M) -- 36%(I)
southpaw-2015,40%(M) -- 44%(I)
scouts-guide-to-the-zombie-apocalypse,29%(M) -- 35%(I)
far-from-the-madding-crowd-2015,60%(M) -- 57%(I)
our-brand-is-crisis-2015,30%(M) -- 35%(I)
pixels-2015,27%(M) -- 33%(I)
the-holiday,47%(M) -- 38%(I)
the-visit-2015,26%(M) -- 40%(I)
batman-v-superman-dawn-of-justice,26%(M) -- 25%(I)
nekromantik,52%(M) -- 56%(I)
silent-light,67%(M) -- 70%(I)
the-night-before-2015,49%(M) -- 45%(I)
every-thing-will-be-fine,39%(M) -- 39%(I)
life-2015,55%(M) -- 50%(I)
chi-raq,53%(M) -- 70%(I)
rivers-edge,37%(M) -- 36%(I)
the-next-karate-kid,28%(M) -- 32%(I)
turbo-kid,55%(M) -- 45%(I)
tag,59%(M) -- 48%(I)
homeward-bound-ii-lost-in-san-francisco,44%(M) -- 36%(I)
the-good-dinosaur,35%(M) -- 27%(I)
bandidas,39%(M) -- 34%(I)
jesus-of-montreal,68%(M) -- 63%(I)
a-pigeon-sat-on-a-branch-reflecting-on-existence,72%(M) -- 75%(I)
crouching-tiger-hidden-dragon-sword-of-destiny,37%(M) -- 36%(I)
dragon-the-bruce-lee-story,35%(M) -- 35%(I)
stutterer,60%(M) -- 54%(I)
shaun-the-sheep-movie,47%(M) -- 39%(I)
the-big-short,48%(M) -- 64%(I)
love-in-the-afternoon-1972,74%(M) -- 78%(I)
a-summers-tale,66%(M) -- 66%(I)
short-circuit,38%(M) -- 36%(I)
danny-collins,43%(M) -- 39%(I)
the-brand-new-testament,51%(M) -- 56%(I)
theeb,56%(M) -- 57%(I)
caro-diario,61%(M) -- 73%(I)
boy-the-world,63%(M) -- 63%(I)
fahrenheit-451,66%(M) -- 63%(I)
cinderella-2015,34%(M) -- 33%(I)
the-look-of-silence,64%(M) -- 70%(I)
childs-play,48%(M) -- 54%(I)
beat-the-devil,42%(M) -- 37%(I)
wise-blood,64%(M) -- 71%(I)
the-100-year-old-man-who-climbed-out-the-window-and-disappeared,39%(M) -- 34%(I)
cartel-land,36%(M) -- 49%(I)
the-hunting-ground-2015,43%(M) -- 42%(I)
winter-on-fire-ukraines-fight-for-freedom,56%(M) -- 51%(I)
what-happened-miss-simone,58%(M) -- 60%(I)
straight-outta-compton,46%(M) -- 49%(I)
amy-2015,68%(M) -- 69%(I)
bear-story,53%(M) -- 49%(I)
infinitely-polar-bear,39%(M) -- 35%(I)
mustang-2015,77%(M) -- 77%(I)
in-the-heart-of-the-sea,33%(M) -- 34%(I)
the-diary-of-a-teenage-girl,61%(M) -- 71%(I)
45-years,68%(M) -- 74%(I)
suffragette,37%(M) -- 35%(I)
the-danish-girl,56%(M) -- 44%(I)
the-best-man,34%(M) -- 27%(I)
spotlight,75%(M) -- 76%(I)
spectre-2015,37%(M) -- 32%(I)
trumbo,32%(M) -- 33%(I)
legend-2015,41%(M) -- 38%(I)
concussion-2015,34%(M) -- 35%(I)
the-hunger-games-mockingjay-part-2,25%(M) -- 20%(I)
bridge-of-spies,59%(M) -- 50%(I)
joy-2015,38%(M) -- 41%(I)
creed,71%(M) -- 63%(I)
brooklyn,64%(M) -- 60%(I)
mississippi-grind,40%(M) -- 46%(I)
the-diary-of-anne-frank,49%(M) -- 36%(I)
the-shooting,47%(M) -- 41%(I)
blue-streak,39%(M) -- 36%(I)
knock-off,34%(M) -- 26%(I)
the-beverly-hillbillies,43%(M) -- 50%(I)
the-ridiculous-6,37%(M) -- 36%(I)
fuga,40%(M) -- 41%(I)
youth-2015,69%(M) -- 75%(I)
queen-of-earth,67%(M) -- 75%(I)
dope-2015,57%(M) -- 65%(I)
kahaani,57%(M) -- 40%(I)
mistress-america,68%(M) -- 78%(I)
best-of-enemies,61%(M) -- 60%(I)
a-very-murray-christmas,39%(M) -- 51%(I)
tangerine,66%(M) -- 79%(I)
a-nightmare-on-elm-street-part-2-freddys-revenge,42%(M) -- 37%(I)
listen-to-me-marlon,45%(M) -- 43%(I)
experimenter,53%(M) -- 65%(I)
atlantic-city,65%(M) -- 64%(I)
the-final-girls,32%(M) -- 55%(I)
slow-west,63%(M) -- 57%(I)
digging-for-fire,43%(M) -- 43%(I)
self-less,30%(M) -- 28%(I)
the-end-of-the-tour,57%(M) -- 67%(I)
rileys-first-date,40%(M) -- 39%(I)
the-gift-2015-1,48%(M) -- 48%(I)
stripes,38%(M) -- 36%(I)
me-and-earl-and-the-dying-girl,53%(M) -- 61%(I)
trainwreck,43%(M) -- 44%(I)
spy,40%(M) -- 59%(I)
7-days-in-hell,36%(M) -- 37%(I)
star-trek-v-the-final-frontier,33%(M) -- 27%(I)
entourage,27%(M) -- 35%(I)
the-long-good-friday,61%(M) -- 54%(I)
pink-floyd-the-wall,70%(M) -- 66%(I)
before-the-devil-knows-youre-dead,54%(M) -- 50%(I)
hang-em-high,36%(M) -- 27%(I)
where-eagles-dare,54%(M) -- 45%(I)
28-days,34%(M) -- 27%(I)
my-dinner-with-andre,81%(M) -- 72%(I)
dersu-uzala,71%(M) -- 69%(I)
room-666,53%(M) -- 48%(I)
the-serpents-egg,46%(M) -- 54%(I)
the-beyond,56%(M) -- 54%(I)
touching-the-void,69%(M) -- 50%(I)
tae-guk-gi-the-brotherhood-of-war,63%(M) -- 44%(I)
the-nightmare-2015,39%(M) -- 55%(I)
the-swimmer,66%(M) -- 61%(I)
the-train,58%(M) -- 46%(I)
sans-soleil,75%(M) -- 78%(I)
terminator-genisys,21%(M) -- 24%(I)
pitch-perfect-2,25%(M) -- 20%(I)
critters,38%(M) -- 34%(I)
ballad-of-a-soldier,67%(M) -- 67%(I)
summer-hours,54%(M) -- 60%(I)
guarding-tess,46%(M) -- 53%(I)
crimson-peak,40%(M) -- 54%(I)
american-ultra,33%(M) -- 36%(I)
the-clan-2015,52%(M) -- 44%(I)
the-walk-2015,25%(M) -- 48%(I)
beasts-of-no-nation,66%(M) -- 49%(I)
marshland,55%(M) -- 51%(I)
first-strike-1996,46%(M) -- 34%(I)
who-am-i,39%(M) -- 36%(I)
armour-of-god,34%(M) -- 25%(I)
la-chambre,45%(M) -- 59%(I)
the-brother-from-another-planet,42%(M) -- 49%(I)
the-martian,63%(M) -- 53%(I)
ned-rifle,63%(M) -- 63%(I)
results,56%(M) -- 59%(I)
les-3-boutons,55%(M) -- 63%(I)
the-new-york-ripper,52%(M) -- 56%(I)
white-god,56%(M) -- 59%(I)
focus-2015,25%(M) -- 27%(I)
get-hard,31%(M) -- 39%(I)
stray-dogs-2013,67%(M) -- 72%(I)
the-wolfpack,58%(M) -- 64%(I)
forces-of-nature,36%(M) -- 34%(I)
blind-chance,66%(M) -- 68%(I)
subway,41%(M) -- 50%(I)
blue-chips,46%(M) -- 56%(I)
enemy-mine,47%(M) -- 42%(I)
the-assassin-2015,65%(M) -- 64%(I)
dheepan,68%(M) -- 67%(I)
phoenix-2014,76%(M) -- 84%(I)
mia-madre,58%(M) -- 65%(I)
woman-in-the-moon,59%(M) -- 47%(I)
the-thin-blue-line,76%(M) -- 72%(I)
distant-voices-still-lives,76%(M) -- 84%(I)
the-party,57%(M) -- 53%(I)
point-blank,62%(M) -- 48%(I)
duck-amuck,64%(M) -- 62%(I)
spring-in-a-small-town,57%(M) -- 51%(I)
horse-feathers,43%(M) -- 38%(I)
the-fall-of-the-house-of-usher,60%(M) -- 70%(I)
the-last-laugh,70%(M) -- 75%(I)
a-nightmare-on-elm-street-3-dream-warriors,49%(M) -- 34%(I)
bound-by-honor,42%(M) -- 47%(I)
bill-teds-excellent-adventure,61%(M) -- 64%(I)
crocodile-dundee-ii,35%(M) -- 37%(I)
police-academy-3-back-in-training,30%(M) -- 26%(I)
police-academy-2-their-first-assignment,35%(M) -- 25%(I)
first-knight,39%(M) -- 36%(I)
american-gigolo,44%(M) -- 44%(I)
american-pop,48%(M) -- 47%(I)
babys-day-out,31%(M) -- 31%(I)
5-flights-up,30%(M) -- 33%(I)
its-such-a-beautiful-day-2011,60%(M) -- 59%(I)
the-odd-couple,55%(M) -- 51%(I)
thunderball,44%(M) -- 31%(I)
the-spiral-staircase,48%(M) -- 43%(I)
brave-little-tailor,55%(M) -- 44%(I)
you-cant-take-it-with-you,65%(M) -- 63%(I)
peter-pan,52%(M) -- 47%(I)
the-strange-case-of-angelica,58%(M) -- 50%(I)
creep-2014,44%(M) -- 47%(I)
beauty-and-the-beast-1978,62%(M) -- 55%(I)
the-missing-picture,45%(M) -- 53%(I)
message-in-a-bottle,42%(M) -- 31%(I)
what-just-happened,37%(M) -- 36%(I)
the-adventures-of-priscilla-queen-of-the-desert,52%(M) -- 42%(I)
the-fiances-of-macdonald-bridge,61%(M) -- 64%(I)
a-chinese-ghost-story,55%(M) -- 54%(I)
a-better-tomorrow,60%(M) -- 57%(I)
ashes-of-time,60%(M) -- 62%(I)
courage-under-fire,48%(M) -- 33%(I)
inside-job-2010,57%(M) -- 47%(I)
ogu-y-mampato-en-rapa-nui,38%(M) -- 41%(I)
run-all-night,36%(M) -- 36%(I)
ant-man,31%(M) -- 22%(I)
glen-or-glenda,53%(M) -- 63%(I)
appropriate-behavior,62%(M) -- 75%(I)
cobain-montage-of-heck,65%(M) -- 60%(I)
hungry-hearts-2014,46%(M) -- 53%(I)
maggie,26%(M) -- 25%(I)
accidental-love,31%(M) -- 35%(I)
hellraiser-bloodline,38%(M) -- 36%(I)
virtuosity,33%(M) -- 26%(I)
the-water-diviner,47%(M) -- 35%(I)
lava-2014,39%(M) -- 38%(I)
blackhat,22%(M) -- 27%(I)
star-trek-ii-the-wrath-of-khan,51%(M) -- 43%(I)
going-clear-scientology-and-the-prison-of-belief,61%(M) -- 66%(I)
kumiko-the-treasure-hunter,56%(M) -- 62%(I)
the-woman-in-the-window,65%(M) -- 72%(I)
the-chaser,59%(M) -- 50%(I)
gett-the-trial-of-viviane-amsalem,66%(M) -- 63%(I)
blackmail,55%(M) -- 45%(I)
while-were-young,48%(M) -- 68%(I)
shes-funny-that-way,48%(M) -- 36%(I)
lil-quinquin,59%(M) -- 69%(I)
camp-x-ray,47%(M) -- 53%(I)
big-game-2014,32%(M) -- 26%(I)
good-kill,29%(M) -- 26%(I)
white-fang-1991,37%(M) -- 27%(I)
superman-iii,37%(M) -- 36%(I)
barb-wire,43%(M) -- 50%(I)
kung-fury,45%(M) -- 55%(I)
hot-girls-wanted,38%(M) -- 36%(I)
city-hunter,46%(M) -- 36%(I)
gymkata,38%(M) -- 36%(I)
the-strange-color-of-your-bodys-tears,58%(M) -- 59%(I)
balto,39%(M) -- 36%(I)
your-friends-neighbors,52%(M) -- 37%(I)
money-talks,45%(M) -- 32%(I)
tower-heist,28%(M) -- 32%(I)
project-almanac,32%(M) -- 35%(I)
jawbreaker,42%(M) -- 39%(I)
tom-at-the-farm,61%(M) -- 69%(I)
about-elly,65%(M) -- 54%(I)
the-duke-of-burgundy,71%(M) -- 79%(I)
jesus-of-nazareth,59%(M) -- 48%(I)
rambo-iii,32%(M) -- 26%(I)
avengers-age-of-ultron,21%(M) -- 28%(I)
mauvais-sang,60%(M) -- 78%(I)
school-daze,49%(M) -- 56%(I)
devil-in-a-blue-dress,58%(M) -- 57%(I)
pretty-in-pink,43%(M) -- 43%(I)
alex-of-venice,41%(M) -- 41%(I)
a-girl-walks-home-alone-at-night,72%(M) -- 83%(I)
when-marnie-was-there,59%(M) -- 63%(I)
baghead,42%(M) -- 54%(I)
world-of-tomorrow,75%(M) -- 86%(I)
lost-river,40%(M) -- 60%(I)
kikujiro,66%(M) -- 68%(I)
flesh-blood-1985,54%(M) -- 45%(I)
spring-2014,58%(M) -- 60%(I)
headhunters,47%(M) -- 53%(I)
chappie,22%(M) -- 30%(I)
asterix-obelix-take-on-caesar,38%(M) -- 26%(I)
song-of-the-sea,75%(M) -- 75%(I)
the-cobbler-2014,28%(M) -- 34%(I)
brokedown-palace,51%(M) -- 34%(I)
explorers,57%(M) -- 43%(I)
milk-money,43%(M) -- 50%(I)
71,52%(M) -- 53%(I)
philomena,51%(M) -- 55%(I)
star-trek-iii-the-search-for-spock,36%(M) -- 29%(I)
home-for-the-holidays-1995,42%(M) -- 39%(I)
look-whos-talking,29%(M) -- 25%(I)
sudden-impact,47%(M) -- 35%(I)
porkys,30%(M) -- 26%(I)
species-ii,30%(M) -- 25%(I)
hard-to-kill,42%(M) -- 36%(I)
bad-girls-1994,44%(M) -- 37%(I)
bitter-moon,53%(M) -- 60%(I)
blown-away-1994,34%(M) -- 27%(I)
faults,55%(M) -- 54%(I)
a-shot-in-the-dark,59%(M) -- 48%(I)
the-outsiders,38%(M) -- 41%(I)
casualties-of-war,51%(M) -- 41%(I)
body-double,57%(M) -- 52%(I)
streets-of-fire,61%(M) -- 50%(I)
cocktail,43%(M) -- 50%(I)
risky-business,53%(M) -- 49%(I)
the-karate-kid-part-iii,37%(M) -- 33%(I)
drugstore-cowboy,62%(M) -- 68%(I)
whiplash-2013,55%(M) -- 48%(I)
look-whos-talking-now,27%(M) -- 33%(I)
the-jewel-of-the-nile,50%(M) -- 38%(I)
highlander-ii-the-quickening,38%(M) -- 36%(I)
under-siege-2-dark-territory,36%(M) -- 27%(I)
fletch,42%(M) -- 36%(I)
the-big-shave,57%(M) -- 63%(I)
what-have-i-done-to-deserve-this,62%(M) -- 64%(I)
inferno-1980,52%(M) -- 51%(I)
fifty-shades-of-grey,26%(M) -- 22%(I)
spy-hard,30%(M) -- 26%(I)
thief,72%(M) -- 73%(I)
the-golden-child,36%(M) -- 26%(I)
striking-distance,33%(M) -- 26%(I)
the-wrong-man,62%(M) -- 56%(I)
mickey-blue-eyes,37%(M) -- 26%(I)
warlock-1989,46%(M) -- 39%(I)
the-keep,33%(M) -- 36%(I)
point-of-no-return,42%(M) -- 47%(I)
paddington,65%(M) -- 45%(I)
the-phone-call,56%(M) -- 51%(I)
the-last-five-years,34%(M) -- 25%(I)
kingsman-the-secret-service,42%(M) -- 30%(I)
the-dinner-game,59%(M) -- 59%(I)
the-glimmer-man,30%(M) -- 26%(I)
chain-reaction,33%(M) -- 26%(I)
rookie-of-the-year,38%(M) -- 47%(I)
the-hunger,59%(M) -- 70%(I)
midnight-run,59%(M) -- 46%(I)
i-shot-andy-warhol,44%(M) -- 36%(I)
angel-heart,60%(M) -- 54%(I)
bio-dome,45%(M) -- 50%(I)
say-anything,59%(M) -- 64%(I)
conan-the-destroyer,32%(M) -- 35%(I)
twins,26%(M) -- 25%(I)
frantic,54%(M) -- 47%(I)
mad-max-beyond-thunderdome,45%(M) -- 41%(I)
showdown-in-little-tokyo,39%(M) -- 26%(I)
the-punisher,38%(M) -- 23%(I)
fist-of-legend,47%(M) -- 49%(I)
rocky-iv,40%(M) -- 33%(I)
first-blood,54%(M) -- 44%(I)
the-boy-in-the-striped-pyjamas,43%(M) -- 31%(I)
the-humbling,37%(M) -- 37%(I)
kiss-of-the-spider-woman,59%(M) -- 54%(I)
a-trip-to-the-moon,79%(M) -- 76%(I)
police-academy-6-city-under-siege,33%(M) -- 25%(I)
problem-child,38%(M) -- 36%(I)
tango-cash,47%(M) -- 42%(I)
the-adventures-of-baron-munchausen,53%(M) -- 45%(I)
blood-ties-2013,43%(M) -- 36%(I)
jupiter-ascending,19%(M) -- 26%(I)
what-happened-was,55%(M) -- 49%(I)
poison,67%(M) -- 58%(I)
best-in-show,60%(M) -- 64%(I)
vampires-kiss,54%(M) -- 57%(I)
that-darn-cat-1997,38%(M) -- 36%(I)
clue,54%(M) -- 47%(I)
suburbia-1996,42%(M) -- 47%(I)
little-man-tate,39%(M) -- 34%(I)
sliver,38%(M) -- 56%(I)
above-the-law,39%(M) -- 34%(I)
police-academy-4-citizens-on-patrol,35%(M) -- 25%(I)
fading-gigolo,36%(M) -- 28%(I)
take-the-money-and-run,45%(M) -- 47%(I)
in-your-eyes-2014,36%(M) -- 34%(I)
why-dont-you-play-in-hell,69%(M) -- 54%(I)
nightcap-2000,54%(M) -- 57%(I)
the-disappearance-of-eleanor-rigby-them,44%(M) -- 40%(I)
the-gambler-2014,33%(M) -- 35%(I)
dennis-the-menace-strikes-again,44%(M) -- 34%(I)
the-naked-gun-from-the-files-of-police-squad,49%(M) -- 64%(I)
the-borrowers,42%(M) -- 36%(I)
the-adventures-of-rocky-bullwinkle,37%(M) -- 37%(I)
sea-of-love,44%(M) -- 40%(I)
always,39%(M) -- 36%(I)
the-big-hit,43%(M) -- 30%(I)
love-rosie,26%(M) -- 21%(I)
the-voices,30%(M) -- 30%(I)
dick,38%(M) -- 37%(I)
the-amityville-horror-2005,31%(M) -- 30%(I)
bird-on-a-wire-1990,42%(M) -- 37%(I)
mr-peabody-sherman,27%(M) -- 33%(I)
the-vanishing-1993,36%(M) -- 35%(I)
valerie-and-her-week-of-wonders,68%(M) -- 75%(I)
six-men-getting-sick,53%(M) -- 68%(I)
death-by-hanging,64%(M) -- 55%(I)
la-ceremonie,70%(M) -- 73%(I)
love-is-colder-than-death,48%(M) -- 56%(I)
beyond-the-lights,62%(M) -- 51%(I)
tokyo-tribe,53%(M) -- 43%(I)
the-cook-the-thief-his-wife-her-lover,69%(M) -- 77%(I)
marvel-one-shot-all-hail-the-king,34%(M) -- 26%(I)
death-and-the-maiden,53%(M) -- 51%(I)
the-burbs,40%(M) -- 36%(I)
barbarella,49%(M) -- 63%(I)
ready-to-wear,37%(M) -- 26%(I)
hairspray,60%(M) -- 68%(I)
rising-sun,36%(M) -- 34%(I)
top-five,54%(M) -- 52%(I)
kill-the-messenger,48%(M) -- 36%(I)
dangerous-beauty,48%(M) -- 37%(I)
striptease,34%(M) -- 26%(I)
the-spoils-of-babylon,46%(M) -- 44%(I)
jauja,42%(M) -- 49%(I)
escobar-paradise-lost,27%(M) -- 26%(I)
dear-white-people,49%(M) -- 47%(I)
absolute-power,37%(M) -- 27%(I)
cake-2014,28%(M) -- 26%(I)
big-eyes,33%(M) -- 41%(I)
highlander,45%(M) -- 50%(I)
young-guns,46%(M) -- 50%(I)
superman-ii,41%(M) -- 34%(I)
a-most-violent-year,57%(M) -- 58%(I)
ill-do-anything,38%(M) -- 36%(I)
citizenfour,55%(M) -- 69%(I)
begin-again,51%(M) -- 46%(I)
disclosure,40%(M) -- 37%(I)
the-getaway-1994,50%(M) -- 46%(I)
the-hunger-games-mockingjay-part-1,27%(M) -- 28%(I)
unbroken,38%(M) -- 35%(I)
tampopo,78%(M) -- 73%(I)
nineteen-eighty-four-1984,34%(M) -- 28%(I)
gia,47%(M) -- 38%(I)
leviathan-2014,70%(M) -- 74%(I)
gun-crazy,60%(M) -- 56%(I)
django,58%(M) -- 45%(I)
the-unbelievable-truth,63%(M) -- 63%(I)
father-of-the-bride-1991,56%(M) -- 46%(I)
into-the-woods-2014,23%(M) -- 23%(I)
the-adventures-of-huck-finn,34%(M) -- 27%(I)
man-of-the-house,38%(M) -- 36%(I)
my-favorite-martian,37%(M) -- 36%(I)
honey-we-shrunk-ourselves,34%(M) -- 26%(I)
blank-check,47%(M) -- 39%(I)
the-tigger-movie,35%(M) -- 37%(I)
jungle-2-jungle,40%(M) -- 36%(I)
the-odd-life-of-timothy-green,30%(M) -- 24%(I)
the-brave-little-toaster,42%(M) -- 36%(I)
the-astronauts-wife,39%(M) -- 39%(I)
wild,47%(M) -- 40%(I)
waking-ned,41%(M) -- 36%(I)
life,56%(M) -- 41%(I)
character,42%(M) -- 37%(I)
one-fine-day,36%(M) -- 26%(I)
don-juan-demarco,40%(M) -- 36%(I)
the-postman-1994,60%(M) -- 57%(I)
nell,39%(M) -- 35%(I)
beethovens-2nd,38%(M) -- 36%(I)
bugsy,39%(M) -- 29%(I)
a-grand-day-out,58%(M) -- 45%(I)
hamlet-1990,54%(M) -- 56%(I)
green-card,53%(M) -- 48%(I)
postcards-from-the-edge,57%(M) -- 47%(I)
balance,62%(M) -- 56%(I)
black-rain,34%(M) -- 27%(I)
steel-magnolias,56%(M) -- 44%(I)
parenthood,48%(M) -- 42%(I)
crimes-and-misdemeanors,75%(M) -- 68%(I)
glory,36%(M) -- 29%(I)
the-fabulous-baker-boys,55%(M) -- 44%(I)
field-of-dreams,62%(M) -- 73%(I)
born-on-the-fourth-of-july,52%(M) -- 43%(I)
driving-miss-daisy,59%(M) -- 60%(I)
coming-to-america,44%(M) -- 38%(I)
gorillas-in-the-mist,48%(M) -- 37%(I)
working-girl,52%(M) -- 54%(I)
mississippi-burning,42%(M) -- 42%(I)
dangerous-liaisons,58%(M) -- 54%(I)
the-man-who-planted-trees,58%(M) -- 58%(I)
dirty-dancing,39%(M) -- 53%(I)
the-witches-of-eastwick,47%(M) -- 47%(I)
empire-of-the-sun,70%(M) -- 63%(I)
throw-momma-from-the-train,42%(M) -- 39%(I)
wall-street,54%(M) -- 38%(I)
moonstruck,64%(M) -- 55%(I)
fatal-attraction,48%(M) -- 44%(I)
luxo-jr,45%(M) -- 39%(I)
an-american-tail,44%(M) -- 33%(I)
the-karate-kid-part-ii,38%(M) -- 34%(I)
poltergeist-ii-the-other-side,44%(M) -- 36%(I)
star-trek-iv-the-voyage-home,45%(M) -- 37%(I)
crocodile-dundee,35%(M) -- 37%(I)
hoosiers,42%(M) -- 36%(I)
peggy-sue-got-married,59%(M) -- 59%(I)
the-color-of-money,61%(M) -- 65%(I)
the-purple-rose-of-cairo,71%(M) -- 64%(I)
witness,59%(M) -- 53%(I)
broadway-danny-rose,56%(M) -- 67%(I)
the-karate-kid,69%(M) -- 57%(I)
places-in-the-heart,56%(M) -- 46%(I)
trading-places,41%(M) -- 36%(I)
zelig,66%(M) -- 70%(I)
wargames,57%(M) -- 50%(I)
rocky-iii,32%(M) -- 26%(I)
quest-for-fire,44%(M) -- 54%(I)
tron,49%(M) -- 50%(I)
an-officer-and-a-gentleman,56%(M) -- 50%(I)
the-french-lieutenants-woman,47%(M) -- 43%(I)
somewhere-in-time,46%(M) -- 40%(I)
the-blue-lagoon,23%(M) -- 21%(I)
gloria,58%(M) -- 63%(I)
coal-miners-daughter,56%(M) -- 46%(I)
ordinary-people,74%(M) -- 65%(I)
looking-for-mr-goodbar,48%(M) -- 49%(I)
seven-beauties,73%(M) -- 72%(I)
in-cold-blood,69%(M) -- 61%(I)
wait-until-dark,74%(M) -- 60%(I)
guess-whos-coming-to-dinner,63%(M) -- 60%(I)
in-the-heat-of-the-night,80%(M) -- 63%(I)
the-gospel-according-to-matthew-1964,69%(M) -- 73%(I)
fantastic-voyage,38%(M) -- 36%(I)
the-professionals,60%(M) -- 56%(I)
the-agony-and-the-ecstasy,38%(M) -- 47%(I)
the-pink-panther-1963,42%(M) -- 36%(I)
cleopatra-1963,60%(M) -- 52%(I)
the-longest-day,57%(M) -- 48%(I)
splendor-in-the-grass,45%(M) -- 42%(I)
the-guns-of-navarone,56%(M) -- 44%(I)
exodus,33%(M) -- 27%(I)
inherit-the-wind,56%(M) -- 46%(I)
imitation-of-life-1959,59%(M) -- 52%(I)
the-nuns-story,59%(M) -- 43%(I)
