submarine,54%(M) -- 64%(I)
moonlight-2016,97%(M) -- 88%(I)
la-la-land,81%(M) -- 78%(I)
under-the-skin-2013,79%(M) -- 81%(I)
donnie-darko,85%(M) -- 83%(I)
locke,57%(M) -- 64%(I)
the-double-2013,47%(M) -- 56%(I)
nebraska,65%(M) -- 76%(I)
magnolia,90%(M) -- 87%(I)
atonement,69%(M) -- 70%(I)
anomalisa,87%(M) -- 91%(I)
taxi-driver,91%(M) -- 97%(I)
her,90%(M) -- 88%(I)
punch-drunk-love,83%(M) -- 87%(I)
drive-2011,80%(M) -- 84%(I)
inherent-vice,56%(M) -- 79%(I)
the-devil-all-the-time,35%(M) -- 35%(I)
inland-empire,77%(M) -- 78%(I)
bad-influence-2016,53%(M) -- 49%(I)
no-2012,66%(M) -- 71%(I)
being-john-malkovich,86%(M) -- 76%(I)
spider-man-into-the-spider-verse,81%(M) -- 75%(I)
the-square-2017,65%(M) -- 75%(I)
the-holy-mountain,74%(M) -- 85%(I)
wild-tales,85%(M) -- 80%(I)
fantastic-planet,73%(M) -- 90%(I)
battle-royale,64%(M) -- 58%(I)
angels-egg,65%(M) -- 69%(I)
extraction-2020,33%(M) -- 33%(I)
kong-skull-island,27%(M) -- 23%(I)
host-2020,49%(M) -- 51%(I)
chungking-express,78%(M) -- 95%(I)
a-brighter-summer-day,75%(M) -- 72%(I)
little-miss-sunshine,82%(M) -- 83%(I)
fallen-angels,49%(M) -- 74%(I)
lars-and-the-real-girl,54%(M) -- 48%(I)
eraserhead,82%(M) -- 80%(I)
possession,79%(M) -- 81%(I)
a-woman-is-a-woman,73%(M) -- 71%(I)
vivre-sa-vie,81%(M) -- 86%(I)
my-tender-matador,60%(M) -- 58%(I)
2001-a-space-odyssey,90%(M) -- 90%(I)
stalker,94%(M) -- 88%(I)
city-of-god,82%(M) -- 71%(I)
train-to-busan,72%(M) -- 54%(I)
waking-life,74%(M) -- 77%(I)
persona,84%(M) -- 95%(I)
love-exposure,59%(M) -- 55%(I)
mission-impossible-fallout,67%(M) -- 62%(I)
mulholland-drive,90%(M) -- 92%(I)
joker-2019,61%(M) -- 57%(I)
anima-2019,68%(M) -- 70%(I)
